obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Zagorje ob Savi,Zasavska,2013,Moški, Visokošolska 3. stopnje ipd.,48,8311,0.58
Zagorje ob Savi,Zasavska,2013,Ženske, Osnovnošolska ali manj - Skupaj,2683,8579,31.27
Zagorje ob Savi,Zasavska,2013,Ženske, Srednješolska - Skupaj,3403,8579,39.67
Zagorje ob Savi,Zasavska,2013,Ženske," Višješolska, visokošolska - Skupaj",1309,8579,15.26
Zagorje ob Savi,Zasavska,2013,Ženske, Visokošolska 1. stopnje ipd.,670,8579,7.81
Zagorje ob Savi,Zasavska,2013,Ženske, Visokošolska 2. stopnje ipd.,583,8579,6.8
Zagorje ob Savi,Zasavska,2013,Ženske, Visokošolska 3. stopnje ipd.,56,8579,0.65
Zagorje ob Savi,Zasavska,2014,Moški, Osnovnošolska ali manj - Skupaj,1611,8265,19.49
Zagorje ob Savi,Zasavska,2014,Moški, Srednješolska - Skupaj,4433,8265,53.64
Zagorje ob Savi,Zasavska,2014,Moški," Višješolska, visokošolska - Skupaj",961,8265,11.63
Zagorje ob Savi,Zasavska,2014,Moški, Visokošolska 1. stopnje ipd.,520,8265,6.29
Zagorje ob Savi,Zasavska,2014,Moški, Visokošolska 2. stopnje ipd.,389,8265,4.71
Zagorje ob Savi,Zasavska,2014,Moški, Visokošolska 3. stopnje ipd.,52,8265,0.63
Zagorje ob Savi,Zasavska,2014,Ženske, Osnovnošolska ali manj - Skupaj,2640,8504,31.04
Zagorje ob Savi,Zasavska,2014,Ženske, Srednješolska - Skupaj,3284,8504,38.62
Zagorje ob Savi,Zasavska,2014,Ženske," Višješolska, visokošolska - Skupaj",1395,8504,16.4
Zagorje ob Savi,Zasavska,2014,Ženske, Visokošolska 1. stopnje ipd.,735,8504,8.64
Zagorje ob Savi,Zasavska,2014,Ženske, Visokošolska 2. stopnje ipd.,599,8504,7.04
Zagorje ob Savi,Zasavska,2014,Ženske, Visokošolska 3. stopnje ipd.,61,8504,0.72
Zagorje ob Savi,Zasavska,2015,Moški, Osnovnošolska ali manj - Skupaj,1547,8227,18.8
Zagorje ob Savi,Zasavska,2015,Moški, Srednješolska - Skupaj,4403,8227,53.52
Zagorje ob Savi,Zasavska,2015,Moški," Višješolska, visokošolska - Skupaj",990,8227,12.03
Zagorje ob Savi,Zasavska,2015,Moški, Visokošolska 1. stopnje ipd.,551,8227,6.7
Zagorje ob Savi,Zasavska,2015,Moški, Visokošolska 2. stopnje ipd.,387,8227,4.7
Zagorje ob Savi,Zasavska,2015,Moški, Visokošolska 3. stopnje ipd.,52,8227,0.63
Zagorje ob Savi,Zasavska,2015,Ženske, Osnovnošolska ali manj - Skupaj,2570,8484,30.29
Zagorje ob Savi,Zasavska,2015,Ženske, Srednješolska - Skupaj,3285,8484,38.72
Zagorje ob Savi,Zasavska,2015,Ženske," Višješolska, visokošolska - Skupaj",1462,8484,17.23
Zagorje ob Savi,Zasavska,2015,Ženske, Visokošolska 1. stopnje ipd.,764,8484,9.01
Zagorje ob Savi,Zasavska,2015,Ženske, Visokošolska 2. stopnje ipd.,633,8484,7.46
Zagorje ob Savi,Zasavska,2015,Ženske, Visokošolska 3. stopnje ipd.,65,8484,0.77
Zagorje ob Savi,Zasavska,2016,Moški, Osnovnošolska ali manj - Skupaj,1498,8206,18.25
